,mision,medicion,tiempo,uv,temperatura,humedad,ppm,presion,altura,luz,toma_fotos
10,'2',10,2.0,0.0, 25.9, 54.9, 85.17, 1000.33, -0.15, 881.0, None
11,'2',11,2.0,0.0, 25.9, 54.9, 78.34, 1000.34, -0.26, 880.0, None
12,'2',12,3.0,0.0, 25.9, 54.9, 78.34, 1000.37, -0.47, 880.0, None
13,'2',13,3.0,0.0, 25.9, 54.9, 78.34, 100.36, -0.43, 880.0, None
14,'2',14,3.0,0.0, 25.9, 54.9, 78.34, 1000.35, -0.3, 880.0, None
15,'2',15,3.0,0.0, 25.9, 54.9, 78.34, 1000.35, -0.38, 880.0, None
16,'2',16,4.0,0.0, 25.9, 54.9, 78.34, 1000.36, -0.41, 880.0, None
17,'2',17,4.0,0.0, 25.9, 54.9, 78.34, 1000.36, -0.38, 880.0, None
18,'2',18,4.0,0.0, 25.9, 54.9, 78.34, 1000.36, -0.43, 880.0, None
19,'2',19,4.0,0.0, 25.9, 54.9, 78.34, 1000.31, -0.01, 880.0, None
20,'2',20,4.0,0.0, 25.9, 54.9, 85.17, 100.35, -0.35, 880.0, None
21,'2',21,5.0,0.0, 25.9, 54.9, 80.57, 1000.35, -0.3, 880.0, None
22,'2',22,5.0,0.0, 25.9, 54.9, 78.34, 1000.35, -0.3, 880.0, None
23,'2',23,5.0,0.0, 25.9, 54.9, 80.57, 1000.35, -0.33, 880.0, None
24,'2',24,5.0,0.0, 25.9, 54.9, 80.57, 1000.35, -0.35, 880.0, None
25,'2',25,5.0,0.0, 25.9, 54.9, 78.34, 1000.32, -0.12, 880.0, None
26,'2',26,6.0,0.0, 25.9, 54.9, 80.57, 1000.36, -0.39, 880.0, None
27,'2',27,6.0,0.0, 25.9, 54.9, 80.57, 1000.35, -0.31, 880.0, None
28,'2',28,6.0,0.0, 25.9, 54.9, 80.57, 1000.34, -0.27, 880.0, None
29,'2',29,6.0,0.0, 25.9, 54.9, 80.57, 1000.39, -0.63, 880.0, None
30,'2',30,6.0,0.0, 25.9, 57.3, 86.36, 1000.37, -0.47, 880.0, None
31,'2',31,7.0,0.0, 25.9, 57.3, 81.73, 1000.36, -0.45, 880.0, None
32,'2',32,7.0,0.0, 25.9, 57.3, 81.73, 1000.35, -0.33, 880.0, None
33,'2',33,7.0,0.0, 25.9, 57.3, 81.73, 1000.38, -0.61, 880.0, None
34,'2',34,7.0,0.0, 25.9, 57.3, 81.73, 1000.37, -0.51, 881.0, None
35,'2',35,8.0,0.0, 25.9, 57.3, 81.73, 1000.34, -0.27, 881.0, None
36,'2',36,8.0,0.0, 25.9, 57.3, 81.73, 1000.36, -0.43, 881.0, None
37,'2',37,8.0,0.0, 25.9, 57.3, 81.73, 1000.35, -0.34, 881.0, None
38,'2',38,8.0,0.0, 25.9, 57.3, 81.73, 1000.36, -0.44, 881.0, None
39,'2',39,8.0,0.0, 25.9, 57.3, 81.73, 1000.37, -0.52, 881.0, None
40,'2',40,9.0,0.0, 25.9, 57.3, 88.74, 1000.35, -0.32, 881.0, None
41,'2',41,9.0,0.0, 25.9, 57.3, 81.73, 1000.39, -0.64, 881.0, None
42,'2',42,9.0,0.0, 25.9, 57.3, 81.73, 1000.39, -0.67, 881.0, None
43,'2',43,9.0,0.0, 25.9, 57.3, 81.73, 1000.35, -0.33, 881.0, None
44,'2',44,9.0,0.0, 25.9, 57.3, 84.02, 1000.4, -0.78, 881.0, None
45,'2',45,10.0,0.0, 25.9, 57.3, 81.73, 1000.38, -0.61, 881.0, None
46,'2',46,10.0,0.0, 25.9, 57.3, 81.73, 1000.37, -0.47, 881.0, None
47,'2',47,10.0,0.0, 25.9, 57.3, 81.73, 1000.39, -0.66, 880.0, None
48,'2',48,10.0,0.0, 25.9, 57.3, 81.73, 1000.39, -0.66, 880.0, None
49,'2',49,11.0,0.0, 25.9, 57.3, 81.73, 1000.41, -0.8, 881.0, None
50,'2',50,11.0,0.0, 25.9, 57.3, 91.17, 1000.4, -0.71, 880.0, None
51,'2',51,11.0,0.0, 25.9, 57.3, 84.02, 1000.36, -0.43, 880.0, None
52,'2',52,11.0,0.0, 25.9, 57.3, 84.02, 1000.31, 0.05, 880.0, None
53,'2',53,11.0,0.0, 25.9, 57.3, 84.02, 1000.32, -0.11, 880.0, None
54,'2',54,12.0,0.0, 25.9, 57.3, 84.02, 1000.32, -0.06, 880.0, None
55,'2',55,12.0,0.0, 25.9, 57.3, 84.02, 1000.37, -0.47, 880.0, None
56,'2',56,12.0,0.0, 25.9, 57.3, 84.02, 1000.34, -0.26, 880.0, None
57,'2',57,12.0,0.0, 25.9, 57.3, 84.02, 1000.39, -0.64, 880.0, None
58,'2',58,12.0,0.0, 25.9, 57.3, 84.02, 1000.4, -0.71, 880.0, None
59,'2',59,13.0,0.0, 25.9, 57.3, 84.02, 1000.39, -0.7, 880.0, None
60,'2',60,13.0,0.0, 25.9, 57.3, 93.65, 1000.36, -0.4, 880.0, None
61,'2',61,13.0,0.0, 25.9, 57.3, 86.36, 1000.37, -0.48, 879.0, None
62,'2',62,13.0,0.0, 25.9, 57.3, 86.36, 1000.34, -0.23, 880.0, None
63,'2',63,13.0,0.0, 25.9, 57.3, 86.36, 1000.36, -0.38, 880.0, None
64,'2',64,14.0,0.0, 25.9, 57.3, 86.36, 1000.36, -0.42, 879.0, None
65,'2',65,14.0,0.0, 25.9, 57.3, 86.36, 1000.35, -0.34, 880.0, None
66,'2',66,14.0,0.0, 25.9, 57.3, 86.36, 1000.35, -0.36, 880.0, None
67,'2',67,14.0,0.0, 25.9, 57.3, 86.36, 1000.37, -0.55, 880.0, None
68,'2',68,15.0,0.0, 25.9, 57.3, 86.36, 1000.39, -0.63, 880.0, None
69,'2',69,15.0,0.0, 25.9, 57.3, 86.36, 1000.37, -0.52, 880.0, None
70,'2',70,15.0,0.0, 25.9, 54.9, 94.94, 1000.36, -0.4, 880.0, None
71,'2',71,15.0,0.0, 25.9, 54.9, 87.54, 1000.37, -0.48, 880.0, None
72,'2',72,15.0,0.0, 25.9, 54.9, 87.54, 1000.38, -0.54, 880.0, None
73,'2',73,16.0,0.0, 25.9, 54.9, 87.54, 1000.38, -0.54, 880.0, None
74,'2',74,16.0,0.0, 25.9, 54.9, 87.54, 1000.4, -0.75, 879.0, None
75,'2',75,16.0,0.0, 25.9, 54.9, 87.54, 1000.4, -0.72, 880.0, None
76,'2',76,16.0,0.0, 25.9, 54.9, 87.54, 1000.38, -0.62, 880.0, None
77,'2',77,16.0,0.0, 25.9, 54.9, 89.96, 1000.38, -0.6, 879.0, None
78,'2',78,17.0,0.0, 25.9, 54.9, 87.54, 1000.39, -0.7, 880.0, None
79,'2',79,17.0,0.0, 25.9, 54.9, 92.42, 1000.41, -0.85, 880.0, None
80,'2',80,17.0,0.0, 25.9, 54.9, 100.11, 1000.4, -0.76, 880.0, None
81,'2',81,17.0,0.0, 25.9, 54.9, 92.42, 1000.4, -0.75, 880.0, None
82,'2',82,18.0,0.0, 25.9, 54.9, 89.96, 1000.37, -0.47, 880.0, None
83,'2',83,18.0,0.0, 25.9, 54.9, 92.42, 1000.38, -0.59, 880.0, None
84,'2',84,18.0,0.0, 25.9, 54.9, 87.54, 1000.37, -0.47, 880.0, None
85,'2',85,18.0,0.0, 25.9, 54.9, 89.96, 1000.42, -0.9, 880.0, None
86,'2',86,18.0,0.0, 25.9, 54.9, 89.96, 1000.4, -0.77, 880.0, None
